"name","webDate","commitDate","issueDate","updateDate"
"ChemoSpec",NA,2019-07-24 20:00:00,2019-11-15 19:00:00,2019-11-15
"ChemoSpec2D",NA,2019-06-10 20:00:00,2018-09-08 20:00:00,2019-06-10
"speaq",2019-12-09 19:00:00,NA,NA,2019-12-09
"OpenVnmrJ",2015-12-18 19:00:00,2019-12-09 19:00:00,2018-01-24 19:00:00,2019-12-09
"nmrGlue",2011-12-31 19:00:00,2019-07-29 20:00:00,2019-12-19 19:00:00,2019-12-19
"hyperSpec",2018-06-27 20:00:00,NA,NA,2018-06-27
"readJDX",2019-11-11 19:00:00,2019-11-11 19:00:00,2016-11-06 19:00:00,2019-11-11
"hyperChemoBridge",2019-12-31 19:00:00,2018-05-24 20:00:00,NA,2019-12-31
"nmrPipe",2016-12-31 19:00:00,NA,NA,2016-12-31
"nmrML",2019-12-31 19:00:00,2019-11-11 19:00:00,2018-02-13 19:00:00,2019-12-31
